phase,sim_time,phase_time,x,y,z,yaw,tilt,speed,effort_fraction,joint_limit_excess,policy_vx,policy_vy,policy_wz,nonfoot_floor_contacts
turn,23.95999999998951,3.959999999990771,-0.006607689136698297,0.002531091394225918,-0.044634400259309565,0.17931489369501852,0.009836539364863707,0.0001568091826747092,0.4355825686952947,0.00020259026672839986,0,0,0.6,0
turn,23.999999999989416,3.9999999999906777,-0.006613466703028476,0.002529587049633913,-0.04464165535793889,0.17951829129514613,0.009793619451160925,0.0001544568200460014,0.43555960294182877,0.00020247741320829091,0,0,0.6,0
turn,24.039999999989323,4.0399999999905845,-0.006619149581422883,0.002528101545982011,-0.0446488335364776,0.17971909017611662,0.009751292223579079,0.0001519125488370477,0.4355402155944206,0.00020236642150855776,0,0,0.6,0
turn,24.07999999998923,4.079999999990491,-0.0066247375489124705,0.0025266365651186325,-0.04465593517514711,0.1799173219873916,0.009709549572122477,0.00014944438492821364,0.43552572136641216,0.0002022577716241774,0,0,0.6,0
turn,24.119999999989137,4.119999999990398,-0.006630232594146128,0.0025251929483967313,-0.04466296080229905,0.18011302228945913,0.009668381482542203,0.0001469972619177853,0.4355148093411854,0.0002021509020522479,0,0,0.6,0
turn,24.159999999989044,4.159999999990305,-0.006635634632091731,0.0025237717928590225,-0.044669910835090636,0.18030622399715912,0.009627783648368644,0.00014451988601526746,0.43550685675002226,0.00020204592533951506,0,0,0.6,0
turn,24.19999999998895,4.199999999990212,-0.006640950415637176,0.002522373043051346,-0.04467678615386975,0.1804969625588538,0.009587739108811133,0.00014231591505798626,0.4355029129855928,0.00020194266252702297,0,0,0.6,0
turn,24.239999999988857,4.239999999990118,-0.006646175777201113,0.0025209974685149058,-0.044683587276112734,0.18068526960459577,0.009548245475914393,0.000139836488593032,0.4355028027017451,0.00020184122993750734,0,0,0.6,0
turn,24.279999999988764,4.279999999990025,-0.0066513121257637765,0.0025196469495710415,-0.04469031451115176,0.18087117659175841,0.009509296906491067,0.00013750061571413135,0.4355047151928672,0.00020174187331074102,0,0,0.6,0
turn,24.31999999998867,4.319999999989932,-0.0066563595520287835,0.002518322660158741,-0.04469696846777056,0.181054715409192,0.009470889026108598,0.00013511939578818546,0.43551115378822397,0.0002016439157107844,0,0,0.6,0
turn,24.359999999988577,4.359999999989839,-0.0066613263500815605,0.0025170240409409105,-0.04470354991042343,0.18123591780980858,0.009433000937653868,0.00013304920258226614,0.43552078220208834,0.0002015478040051645,0,0,0.6,0
turn,24.399999999988484,4.3999999999897454,-0.006666208651917888,0.0025157532510856908,-0.04471005923506033,0.18141481516892555,0.009395631322102938,0.00013068588508240265,0.43553324770359864,0.00020145327928279376,0,0,0.6,0
turn,24.43999999998839,4.439999999989652,-0.006671007715201904,0.002514509967526644,-0.04471649702583062,0.18159143851654533,0.009358774236805128,0.00012849681240463575,0.4355480808575168,0.0002013607139932385,0,0,0.6,0
turn,24.479999999988298,4.479999999989559,-0.006675725148555445,0.002513294994179901,-0.044722864067757884,0.18176581938231662,0.00932242116384905,0.00012629011891595023,0.4355653483887329,0.00020126955099808054,0,0,0.6,0
turn,24.519999999988205,4.519999999989466,-0.00668036668927937,0.0025121078243011655,-0.044729160976812295,0.18193798729601507,0.009286558067848977,0.00012429163934433136,0.4355853099742107,0.0002011801324945686,0,0,0.6,0
turn,24.55999999998811,4.5599999999893726,-0.006684929358873694,0.0025109497850308764,-0.04473538790948859,0.18210797165813253,0.009251185756181697,0.00012209258790531693,0.43560871495694403,0.00020109208299034758,0,0,0.6,0
turn,24.599999999988018,4.599999999989279,-0.006689411168162062,0.002509822481042955,-0.044741545624790484,0.1822758032449043,0.009216301768680204,0.00011990795663158984,0.43563410194371177,0.0002010057168780647,0,0,0.6,0
turn,24.639999999987925,4.639999999989186,-0.00669381094525097,0.002508727380531711,-0.04474763474940767,0.18244151032591271,0.009181899811916541,0.00011768183884527868,0.4356615709835292,0.00020092100265257167,0,0,0.6,0
turn,24.67999999998783,4.679999999989093,-0.006698133812885973,0.002507663384331574,-0.044753656072593385,0.1826051209456083,0.00914796372463041,0.00011567306331994617,0.43569113444133617,0.00020083793144624293,0,0,0.6,0
turn,24.71999999998774,4.719999999989,-0.006702352801868309,0.002506638457658676,-0.04475960947781194,0.18276666398541325,0.009114526806610243,0.00010896963272803772,0.4357229656194301,0.00020075625878821583,0,0,0.6,0
turn,24.759999999987645,4.759999999988906,-0.006706102223586192,0.0025057356583146253,-0.04476548789138151,0.18292620593424672,0.009082157198281008,9.23477645025588e-05,0.4357614909472421,0.0002006785363963685,0,0,0.6,0
turn,24.799999999987552,4.799999999988813,-0.006709507577555932,0.002504894107119672,-0.044771304320447555,0.18308399720547625,0.009050655523065792,8.813030864660777e-05,0.43582547148627443,0.00020061155932027828,0,0,0.6,0
turn,24.83999999998746,4.83999999998872,-0.006712863311100891,0.002504008578225027,-0.04477707386344134,0.18324031031220864,0.009019492406952464,8.844142933728254e-05,0.43589410823153013,0.00020054231468622476,0,0,0.6,0
turn,24.879999999987366,4.879999999988627,-0.006716205778690541,0.0025030750469752475,-0.04478279711475697,0.1833952279521028,0.008988573270369355,8.830039896102392e-05,0.43596507218323705,0.0002004761335949303,0,0,0.6,0
