phase,sim_time,phase_time,x,y,z,yaw,tilt,speed,effort_fraction,joint_limit_excess,policy_vx,policy_vy,policy_wz,nonfoot_floor_contacts
perturb,5.2399999999998155,0.239999999999867,-0.11619650223006944,-0.037360274838209466,-0.04039935647768218,0.11948597795392206,0.1268519517037119,0.0039008128583613777,1.0,0.009266992370057448,0,0,0,0
perturb,5.279999999999793,0.2799999999998448,-0.11618261999032024,-0.03740297242513895,-0.04037763112934301,0.1195557852984575,0.12687396661031777,0.0006520751665661447,1.0,0.009267144444219505,0,0,0,0
perturb,5.319999999999771,0.31999999999982265,-0.11619037513572246,-0.03720167443214559,-0.040316998695881234,0.11973717605105372,0.12689788818389852,0.006669735397330823,1.0,0.0092690954534185,0,0,0,0
perturb,5.359999999999749,0.3599999999998005,-0.11627744185417967,-0.036732946002226964,-0.04028013816049675,0.12004498526703367,0.1269427126986233,0.012654692324721736,1.0,0.009269124095692836,0,0,0,0
perturb,5.399999999999727,0.3999999999997783,-0.11631957401759054,-0.03651940238094051,-0.04029272494626197,0.12023261445756132,0.1269597852403723,0.00243463021663975,1.0,0.009267201026257868,0,0,0,0
perturb,5.439999999999705,0.43999999999975614,-0.11632197970163509,-0.03649224702812532,-0.04031312548270561,0.12036386262994382,0.12691741507627607,0.0006177651551725594,1.0,0.009261628899017918,0,0,0,0
perturb,5.4799999999996825,0.479999999999734,-0.1163548916349085,-0.036685927770526615,-0.04036205818654177,0.12042531087425952,0.1269458905161584,0.006453864931449367,1.0,0.009260688107426812,0,0,0,0
perturb,5.51999999999966,0.5199999999997118,-0.11630298953516466,-0.0371675349288278,-0.040398249120800415,0.12031089541524286,0.12692964842256582,0.013094988813491092,1.0,0.009257791016311044,0,0,0,0
perturb,5.559999999999638,0.5599999999996896,-0.11617646994827255,-0.03742126924855646,-0.04039368732657397,0.12030803285601747,0.12676076353716556,0.004910131189482148,1.0,0.009266422260493764,0,0,0,0
perturb,5.599999999999616,0.5999999999996675,-0.11615330891600657,-0.03747793151781895,-0.04037455545990392,0.1203618430008459,0.12675971929852908,0.0004904991835972415,1.0,0.009266609163310496,0,0,0,0
perturb,5.639999999999594,0.6399999999996453,-0.11615031443548182,-0.0373605621730852,-0.0403194316255798,0.12045490745465322,0.1267957601363785,0.004143841877487711,1.0,0.009267319349208386,0,0,0,0
perturb,5.679999999999572,0.6799999999996231,-0.11623201309982863,-0.036893843180399614,-0.04027164855895089,0.12073099086143795,0.1268399311492422,0.01355974751566813,1.0,0.009268720116334422,0,0,0,0
perturb,5.7199999999995494,0.719999999999601,-0.11630963506255652,-0.0366373218454738,-0.04027957094296463,0.12093969013243908,0.1269133964292375,0.0036663528790484125,1.0,0.009268724811127576,0,0,0,0
perturb,5.759999999999527,0.7599999999995788,-0.11632262900953634,-0.03659152724950398,-0.04029730374931712,0.12107386981839639,0.1269004659630294,0.00036672735310301115,1.0,0.00926199575257554,0,0,0,0
perturb,5.799999999999505,0.7999999999995566,-0.11638127328561514,-0.036707614332498785,-0.04033819005134144,0.12119758733405385,0.12694456956835595,0.0043485915279136925,1.0,0.009261376930295178,0,0,0,0
perturb,5.839999999999483,0.8399999999995345,-0.11633587721737722,-0.03717184525939622,-0.040387374017126894,0.12109983310531597,0.12691704516848287,0.013471219732517293,1.0,0.009258217631515676,0,0,0,0
perturb,5.879999999999461,0.8799999999995123,-0.11620975668535684,-0.03748388255613053,-0.04038782962399691,0.12105470036175074,0.12674380503240604,0.005767149818481436,1.0,0.009264465042493886,0,0,0,0
perturb,5.919999999999439,0.9199999999994901,-0.11616671848983387,-0.037567478195947114,-0.04037251745792175,0.12110624416519393,0.12669567263691117,0.0008231003281398483,1.0,0.009265209068603793,0,0,0,0
perturb,5.959999999999416,0.959999999999468,-0.11617094348092841,-0.03750693426173146,-0.04032426861512846,0.12115794903986811,0.12675977073721606,0.002589075661592341,1.0,0.009266117333589277,0,0,0,0
perturb,5.999999999999394,0.9999999999994458,-0.11622861369446665,-0.037057156766986704,-0.04026600552523917,0.12141137600292115,0.12678983028157742,0.013559655035916806,1.0,0.009270522082193646,0,0,0,0
perturb,6.039999999999372,1.0399999999994236,-0.11636725226343242,-0.03663819085594526,-0.04024721412266499,0.12189010129187838,0.1270650589953264,0.0116698456312551,1.0,0.009272276985859581,0,0,0,0
perturb,6.07999999999935,1.0799999999994014,-0.1165226021079831,-0.035910628262587445,-0.040195343269613014,0.12251265140598899,0.1274320640126076,0.021621433221164173,1.0,0.009273388942617028,0,0,0,0
perturb,6.119999999999328,1.1199999999993793,-0.1166706611389343,-0.03490633574187322,-0.040123208202958005,0.12310940065530837,0.12777505507434225,0.02633424056445209,1.0,0.009272592062682185,0,0,0,0
perturb,6.159999999999306,1.159999999999357,-0.11680956331599072,-0.033654520242155386,-0.04005392279068425,0.1237699851507725,0.12802696859767074,0.03205601270999871,1.0,0.009266965957592525,0,0,0,0
perturb,6.199999999999283,1.199999999999335,-0.11693134432475194,-0.03242687308172554,-0.04001026506804656,0.12451799396380844,0.12821665852703915,0.02854481684209363,1.0,0.00926531206442476,0,0,0,0
perturb,6.239999999999261,1.2399999999993128,-0.11694080456192822,-0.03155740663716286,-0.0400052398724616,0.1250193802467516,0.1281312299218898,0.01508497818994217,1.0,0.00926221289905819,0,0,0,0
perturb,6.279999999999239,1.2799999999992906,-0.11688158668821123,-0.03142946257366693,-0.040045032724170586,0.12520405752554734,0.12785315830974628,0.004868323407155476,1.0,0.009248682558637217,0,0,0,0
perturb,6.319999999999217,1.3199999999992684,-0.11678900758159692,-0.03228098471835907,-0.04018051355264312,0.12500825490177375,0.12756697627672,0.02866888037123956,1.0,0.00924223398475434,0,0,0,0
perturb,6.359999999999195,1.3599999999992463,-0.1165677050879669,-0.03403200075491665,-0.04030156304721043,0.12443998095046468,0.12721200257682494,0.048006218413556935,1.0,0.009239950486127248,0,0,0,0
perturb,6.399999999999173,1.399999999999224,-0.1162617433510717,-0.035752206184038515,-0.04034598306231475,0.1238480244999777,0.1267071181012685,0.03910539654994267,1.0,0.00925390519035715,0,0,0,0
perturb,6.43999999999915,1.439999999999202,-0.11601635759062094,-0.03688162462705683,-0.040359745320453465,0.1234564041841296,0.12621084985300324,0.022726592882137204,1.0,0.009266395976952045,0,0,0,0
perturb,6.479999999999128,1.4799999999991797,-0.11586968678545627,-0.037467567562229145,-0.04036716328840951,0.12323544242633507,0.12587752312107361,0.010898187959552498,1.0,0.009273590972241945,0,0,0,0
perturb,6.519999999999106,1.5199999999991576,-0.11582588748336689,-0.03771209845724933,-0.04036859590548501,0.12318723496973759,0.12580497884543806,0.003828725113227012,1.0,0.00927670342924941,0,0,0,0
perturb,6.559999999999084,1.5599999999991354,-0.11585338912772457,-0.037811479406454226,-0.04035420103253488,0.12320357710752633,0.12597013559296005,0.0019529749477462457,1.0,0.009276718168926374,0,0,0,0
perturb,6.599999999999062,1.5999999999991132,-0.11591210214992859,-0.03779357263355264,-0.040320460313408475,0.12322596314050681,0.12624375112759142,0.002220816763404415,1.0,0.009273778152179524,0,0,0,0
perturb,6.63999999999904,1.639999999999091,-0.11601108794018555,-0.03756052627218058,-0.040279220183161914,0.12331756875682781,0.12651920339346728,0.007475240339804613,1.0,0.00927038256095689,0,0,0,0
perturb,6.679999999999017,1.679999999999069,-0.11612142021598663,-0.03736863062068096,-0.04027288681284974,0.12343565537449376,0.12677965282068035,0.00429573166701717,1.0,0.009268415096986872,0,0,0,0
perturb,6.719999999998995,1.7199999999990467,-0.11615182044636724,-0.037309158062676304,-0.04027981714383223,0.12353038949706531,0.1268720560505169,0.000413363052735382,1.0,0.00926308066210946,0,0,0,0
perturb,6.759999999998973,1.7599999999990246,-0.11617629995045324,-0.03733281038376787,-0.04029923774629323,0.12361494638641062,0.12687914764163383,0.001240779968432895,1.0,0.009260671346257257,0,0,0,0
perturb,6.799999999998951,1.7999999999990024,-0.11619211169976083,-0.03755907518927064,-0.040338640833199976,0.12358944406364133,0.12689186148711792,0.006755117949075585,1.0,0.00925747908295743,0,0,0,0
perturb,6.839999999998929,1.8399999999989802,-0.11613558309729513,-0.03778412689886535,-0.04034648038270167,0.12357825879849452,0.126798109685144,0.004770261341832375,1.0,0.009260706417307835,0,0,0,0
perturb,6.8799999999989065,1.879999999998958,-0.11609358231342698,-0.03784192197599104,-0.040335891138800636,0.12358109144947507,0.12671912589037757,0.0009250707323017189,1.0,0.009262358053617253,0,0,0,0
perturb,6.919999999998884,1.919999999998936,-0.11609736247392458,-0.03776463434526585,-0.04029650470827321,0.12358697050149187,0.12674508526536474,0.0032125187917448074,1.0,0.009264168243951834,0,0,0,0
perturb,6.959999999998862,1.9599999999989137,-0.11615800018057512,-0.03727980238697322,-0.04023653083658491,0.12380040110327684,0.1267323010963732,0.014487288884172552,1.0,0.009268743557129654,0,0,0,0
perturb,6.99999999999884,1.9999999999988916,-0.11625781512077685,-0.03687366654650679,-0.04023146291151763,0.12404677814666186,0.12677738677233352,0.007706855806698771,1.0,0.009268765382022967,0,0,0,0
perturb,7.039999999998818,2.0399999999988694,-0.11627771770332662,-0.03675440051050325,-0.04024787299926646,0.12416822471930607,0.1267461511475615,0.0010966688101156914,1.0,0.009263258922944731,0,0,0,0
perturb,7.079999999998796,2.079999999998847,-0.11629207014886338,-0.036769181672617716,-0.04027516558122627,0.12425677322089933,0.12668975963969628,0.0013886019355573488,1.0,0.009260272751593244,0,0,0,0
perturb,7.1199999999987735,2.119999999998825,-0.11628972815341529,-0.037108615312034014,-0.04033335159415988,0.12413058781265979,0.12669959266481676,0.010570452909351526,1.0,0.00925896847243935,0,0,0,0
perturb,7.159999999998751,2.159999999998803,-0.11619763075316852,-0.037537572639552805,-0.040348657309497625,0.12393242127378713,0.12663137503623087,0.009818856095007536,1.0,0.00926064461990453,0,0,0,0
perturb,7.199999999998729,2.1999999999987807,-0.11612820457169792,-0.03769263914440221,-0.0403361302010475,0.12392475551213723,0.12657392945864704,0.0021085470002441694,1.0,0.009266627288684392,0,0,0,0
perturb,7.239999999998707,2.2399999999987585,-0.11613907406701263,-0.03770120071530702,-0.040305604957810486,0.12395813872415806,0.126676236932253,0.0013874153342952253,1.0,0.009266732223061534,0,0,0,0
perturb,7.279999999998685,2.2799999999987364,-0.11616485666376336,-0.03735832971372303,-0.04023896601171308,0.12417764625513836,0.12669704342924137,0.01079639895015539,1.0,0.009269876192856241,0,0,0,0
perturb,7.319999999998663,2.319999999998714,-0.11625816881935071,-0.03691568326841709,-0.04022195079506429,0.12446722771252908,0.1267482601397791,0.01011040483107625,1.0,0.009269900063881587,0,0,0,0
perturb,7.3599999999986405,2.359999999998692,-0.11628603179392244,-0.03676776729612942,-0.04023812673583909,0.12460408088613506,0.12673849127470954,0.0012652739324102412,1.0,0.009263787826996545,0,0,0,0
